exercise_id,scale,chord_progression,tempo
8,F#m,"F#m,D,A,E,E7",80
8,F#m,"F#m,D,A,E,E7",90
8,F#m,"F#m,D,A,E,E7",100
8,F#m,"F#m,D,A,E,E7",125
8,F#m,"F#m,D,A,E,E7",150
8,F#m,"F#m,D,A,E,E7",175
8,F#m,"F#m,D,A,E,E7",200
9,Em,"E,A,C#m,B,B7",40
9,Em,"E,A,C#m,B,B7",50
9,Em,"E,A,C#m,B,B7",60
9,Em,"E,A,C#m,B,B7",70
9,Em,"E,A,C#m,B,B7",80
9,Em,"E,A,C#m,B,B7",90
9,Em,"E,A,C#m,B,B7",100
9,Em,"E,A,C#m,B,B7",125
9,Em,"E,A,C#m,B,B7",150
9,Em,"E,A,C#m,B,B7",175
9,Em,"E,A,C#m,B,B7",200
10,C#m,"C#m,A,E,B,B7",40
10,C#m,"C#m,A,E,B,B7",50
10,C#m,"C#m,A,E,B,B7",60
10,C#m,"C#m,A,E,B,B7",70
10,C#m,"C#m,A,E,B,B7",80
10,C#m,"C#m,A,E,B,B7",90
10,C#m,"C#m,A,E,B,B7",100
10,C#m,"C#m,A,E,B,B7",125
10,C#m,"C#m,A,E,B,B7",150
10,C#m,"C#m,A,E,B,B7",175
10,C#m,"C#m,A,E,B,B7",200
11,F#m,"F,Bb,Dm,C,C7",40
11,F#m,"F,Bb,Dm,C,C7",50
11,F#m,"F,Bb,Dm,C,C7",60
11,F#m,"F,Bb,Dm,C,C7",70
11,F#m,"F,Bb,Dm,C,C7",80
11,F#m,"F,Bb,Dm,C,C7",90
11,F#m,"F,Bb,Dm,C,C7",100
11,F#m,"F,Bb,Dm,C,C7",125
11,F#m,"F,Bb,Dm,C,C7",150
11,F#m,"F,Bb,Dm,C,C7",175
11,F#m,"F,Bb,Dm,C,C7",200
12,Dm,"Dm,Bb,F,C,C7",40
12,Dm,"Dm,Bb,F,C,C7",50
12,Dm,"Dm,Bb,F,C,C7",60
12,Dm,"Dm,Bb,F,C,C7",70
12,Dm,"Dm,Bb,F,C,C7",80
12,Dm,"Dm,Bb,F,C,C7",90
12,Dm,"Dm,Bb,F,C,C7",100
12,Dm,"Dm,Bb,F,C,C7",125
12,Dm,"Dm,Bb,F,C,C7",150
12,Dm,"Dm,Bb,F,C,C7",175
12,Dm,"Dm,Bb,F,C,C7",200
